province,rokok,sayur,ikan,telur_susu,daging,buah,gizi_total,rokok_pct_of_gizi,rokok_vs_sayur_ratio,poverty_rate,protein_per_capita,calorie_per_capita
Aceh,97708.0,60754.0,91084.0,26592.0,21829.0,33975.0,234234.0,41.71384171384172,1.6082562465022878,12.64,60.64,1989.55
Bali,65609.0,61777.0,41319.0,37414.0,71217.0,49214.0,260941.0,25.143231611743648,1.062029557926089,3.8,67.22,2295.02
Banten,115022.0,64640.0,64727.0,42347.0,42277.0,46992.0,260983.0,44.07260243004333,1.779424504950495,5.7,66.03,2184.28
Bengkulu,114951.0,83413.0,60638.0,32121.0,31865.0,43581.0,251618.0,45.68472843755217,1.378094541618213,12.52,60.58,2032.04
DI Yogyakarta,69868.0,55161.0,24041.0,48617.0,35913.0,44359.0,208091.0,33.5756952487133,1.266619531915665,10.4,62.32,2015.51
DKI Jakarta,87132.0,77147.0,83288.0,62990.0,73054.0,60669.0,357148.0,24.39660868883488,1.1294282344096336,4.14,68.15,2073.28
Gorontalo,85726.0,47917.0,72478.0,26648.0,14554.0,33568.0,195165.0,43.92488407245151,1.7890519022476365,13.87,58.12,1938.17
Jambi,114981.0,83946.0,70567.0,34063.0,34690.0,56798.0,280064.0,41.05525879798903,1.3697019512543778,7.26,58.73,2011.88
Jawa Barat,109664.0,53640.0,45874.0,40658.0,41813.0,42645.0,224630.0,48.819837065396435,2.0444444444444443,7.08,62.26,2069.91
Jawa Tengah,81779.0,51295.0,28127.0,32742.0,27701.0,34467.0,174332.0,46.90991900511668,1.5942879422945706,9.58,59.23,1993.03
Jawa Timur,84472.0,51613.0,42738.0,36229.0,32591.0,36667.0,199838.0,42.27023889350374,1.636641931296379,9.56,60.48,2046.2
Kalimantan Barat,93153.0,56215.0,83256.0,37951.0,47929.0,34145.0,259496.0,35.89766316243796,1.6570844080761362,6.25,58.52,1903.38
Kalimantan Selatan,81243.0,46718.0,79180.0,42910.0,32911.0,42352.0,244071.0,33.28662561303883,1.7390085192003082,4.02,69.2,2198.3
Kalimantan Tengah,116164.0,66600.0,91586.0,43446.0,51701.0,41408.0,294741.0,39.412229720330735,1.7442042042042043,5.26,61.84,2050.6
Kalimantan Timur,99162.0,67107.0,96114.0,49330.0,50804.0,55348.0,318703.0,31.114234883261215,1.477669989717913,5.51,64.3,1950.46
Kalimantan Utara,97732.0,67920.0,104248.0,51307.0,51181.0,38744.0,313400.0,31.18442884492661,1.4389281507656067,5.38,61.69,1869.58
Kepulauan Bangka Belitung,131199.0,80052.0,109230.0,50998.0,53710.0,60010.0,354000.0,37.06186440677966,1.6389222005696298,5.08,65.69,1992.17
Kepulauan Riau,89194.0,80478.0,94214.0,57539.0,61993.0,49645.0,343869.0,25.938366063820816,1.1083028902308705,4.78,67.05,2050.02
Lampung,99473.0,67212.0,47991.0,32185.0,24737.0,38731.0,210856.0,47.17579770080055,1.4799886924953878,10.62,57.99,2005.8
Maluku,78146.0,60978.0,72968.0,30253.0,15278.0,46383.0,225860.0,34.59930930665014,1.281544163468792,15.78,52.2,1791.94
Maluku Utara,115857.0,69416.0,83104.0,24399.0,12671.0,55076.0,244666.0,47.35312630279647,1.669024432407514,6.03,52.05,1800.54
Nusa Tenggara Barat,80526.0,55356.0,61442.0,28174.0,34807.0,49529.0,229308.0,35.116960594484276,1.4546932581833947,11.91,74.45,2419.21
Nusa Tenggara Timur,56454.0,51525.0,43599.0,20611.0,36052.0,18177.0,169964.0,33.21526911581276,1.0956622998544396,19.02,55.06,1930.43
Papua,95626.0,76542.0,108605.0,39583.0,40886.0,34146.0,299762.0,31.900641175332428,1.2493271667842492,18.09,54.73,1782.9
Papua Barat,127427.0,84494.0,92347.0,41194.0,46766.0,46206.0,311007.0,40.97238968897806,1.508118919686605,21.09,51.78,1769.8
Riau,122449.0,88929.0,89636.0,40448.0,35590.0,36438.0,291041.0,42.07276637999457,1.376929910377942,6.36,59.16,2017.1
Sulawesi Barat,88088.0,38302.0,66432.0,21606.0,11769.0,37037.0,175146.0,50.29404040058009,2.299827685238369,10.71,60.03,2068.7
Sulawesi Selatan,82051.0,40379.0,75242.0,31314.0,20362.0,44077.0,211374.0,38.81792462649143,2.032021595383739,7.77,63.63,2063.99
Sulawesi Tengah,96331.0,49269.0,67557.0,27608.0,18499.0,39985.0,202918.0,47.4728708148119,1.9552050985406646,11.04,60.58,2032.8
Sulawesi Tenggara,77331.0,40294.0,76839.0,28865.0,12257.0,43095.0,201350.0,38.406257760119196,1.9191691070630863,10.63,60.98,1955.09
Sulawesi Utara,90091.0,57693.0,80359.0,35446.0,27133.0,47831.0,248462.0,36.2594682486658,1.5615585946301977,6.7,63.62,2011.68
Sumatera Barat,112394.0,85076.0,70645.0,33763.0,28625.0,37119.0,255228.0,44.036704436817274,1.3211011331045184,5.42,57.79,2032.94
Sumatera Selatan,91223.0,65577.0,64144.0,40611.0,32481.0,46320.0,249133.0,36.616184929334935,1.3910822391997195,10.51,66.43,2196.16
Sumatera Utara,99929.0,71480.0,86850.0,38235.0,29170.0,30923.0,256658.0,38.93469130126472,1.39799944040291,7.19,62.11,2041.63
